first_name,last_name,email,badge,credential_id,credential_url,add_to_linkedin_url
Jordan,Ellis,jordan.ellis@example.edu,Capstone Business Simulation — Participant,CAP-2026-1FEBD010,https://bmcd03.github.io/capsim-badges/badges/CAP-2026-1FEBD010.html,https://www.linkedin.com/profile/add?startTask=CERTIFICATION_NAME&name=Capstone+Business+Simulation+%E2%80%94+Participant&organizationName=Capsim+Management+Simulations&issueYear=2026&issueMonth=7&certUrl=https%3A%2F%2Fbmcd03.github.io%2Fcapsim-badges%2Fbadges%2FCAP-2026-1FEBD010.html&certId=CAP-2026-1FEBD010
Priya,Natarajan,priya.natarajan@example.edu,Capstone Business Simulation — Participant,CAP-2026-6AC12785,https://bmcd03.github.io/capsim-badges/badges/CAP-2026-6AC12785.html,https://www.linkedin.com/profile/add?startTask=CERTIFICATION_NAME&name=Capstone+Business+Simulation+%E2%80%94+Participant&organizationName=Capsim+Management+Simulations&issueYear=2026&issueMonth=7&certUrl=https%3A%2F%2Fbmcd03.github.io%2Fcapsim-badges%2Fbadges%2FCAP-2026-6AC12785.html&certId=CAP-2026-6AC12785
Marcus,Webb,marcus.webb@example.edu,Capstone Business Simulation — Participant,CAP-2026-08B833A6,https://bmcd03.github.io/capsim-badges/badges/CAP-2026-08B833A6.html,https://www.linkedin.com/profile/add?startTask=CERTIFICATION_NAME&name=Capstone+Business+Simulation+%E2%80%94+Participant&organizationName=Capsim+Management+Simulations&issueYear=2026&issueMonth=7&certUrl=https%3A%2F%2Fbmcd03.github.io%2Fcapsim-badges%2Fbadges%2FCAP-2026-08B833A6.html&certId=CAP-2026-08B833A6
Marcus,Webb,marcus.webb@example.edu,Capstone Business Simulation — First Place Team,CAP1ST-2026-A7205DC1,https://bmcd03.github.io/capsim-badges/badges/CAP1ST-2026-A7205DC1.html,https://www.linkedin.com/profile/add?startTask=CERTIFICATION_NAME&name=Capstone+Business+Simulation+%E2%80%94+First+Place+Team&organizationName=Capsim+Management+Simulations&issueYear=2026&issueMonth=7&certUrl=https%3A%2F%2Fbmcd03.github.io%2Fcapsim-badges%2Fbadges%2FCAP1ST-2026-A7205DC1.html&certId=CAP1ST-2026-A7205DC1
Sofia,Reyes,sofia.reyes@example.edu,Capstone Business Simulation — Participant,CAP-2026-DC62284E,https://bmcd03.github.io/capsim-badges/badges/CAP-2026-DC62284E.html,https://www.linkedin.com/profile/add?startTask=CERTIFICATION_NAME&name=Capstone+Business+Simulation+%E2%80%94+Participant&organizationName=Capsim+Management+Simulations&issueYear=2026&issueMonth=7&certUrl=https%3A%2F%2Fbmcd03.github.io%2Fcapsim-badges%2Fbadges%2FCAP-2026-DC62284E.html&certId=CAP-2026-DC62284E
Sofia,Reyes,sofia.reyes@example.edu,Capstone Business Simulation — First Place Team,CAP1ST-2026-CE71A5B8,https://bmcd03.github.io/capsim-badges/badges/CAP1ST-2026-CE71A5B8.html,https://www.linkedin.com/profile/add?startTask=CERTIFICATION_NAME&name=Capstone+Business+Simulation+%E2%80%94+First+Place+Team&organizationName=Capsim+Management+Simulations&issueYear=2026&issueMonth=7&certUrl=https%3A%2F%2Fbmcd03.github.io%2Fcapsim-badges%2Fbadges%2FCAP1ST-2026-CE71A5B8.html&certId=CAP1ST-2026-CE71A5B8
Tom,Okafor,tom.okafor@example.edu,Capstone Business Simulation — Participant,CAP-2026-F9A32283,https://bmcd03.github.io/capsim-badges/badges/CAP-2026-F9A32283.html,https://www.linkedin.com/profile/add?startTask=CERTIFICATION_NAME&name=Capstone+Business+Simulation+%E2%80%94+Participant&organizationName=Capsim+Management+Simulations&issueYear=2026&issueMonth=7&certUrl=https%3A%2F%2Fbmcd03.github.io%2Fcapsim-badges%2Fbadges%2FCAP-2026-F9A32283.html&certId=CAP-2026-F9A32283
Lena,Kowalski,lena.kowalski@example.edu,Capstone Business Simulation — Participant,CAP-2026-D25FCB13,https://bmcd03.github.io/capsim-badges/badges/CAP-2026-D25FCB13.html,https://www.linkedin.com/profile/add?startTask=CERTIFICATION_NAME&name=Capstone+Business+Simulation+%E2%80%94+Participant&organizationName=Capsim+Management+Simulations&issueYear=2026&issueMonth=7&certUrl=https%3A%2F%2Fbmcd03.github.io%2Fcapsim-badges%2Fbadges%2FCAP-2026-D25FCB13.html&certId=CAP-2026-D25FCB13
Derek,Huang,derek.huang@example.edu,Capstone Business Simulation — Participant,CAP-2026-14E032D7,https://bmcd03.github.io/capsim-badges/badges/CAP-2026-14E032D7.html,https://www.linkedin.com/profile/add?startTask=CERTIFICATION_NAME&name=Capstone+Business+Simulation+%E2%80%94+Participant&organizationName=Capsim+Management+Simulations&issueYear=2026&issueMonth=7&certUrl=https%3A%2F%2Fbmcd03.github.io%2Fcapsim-badges%2Fbadges%2FCAP-2026-14E032D7.html&certId=CAP-2026-14E032D7
Amara,Osei,amara.osei@example.edu,Capstone Business Simulation — Participant,CAP-2026-AF1C85E8,https://bmcd03.github.io/capsim-badges/badges/CAP-2026-AF1C85E8.html,https://www.linkedin.com/profile/add?startTask=CERTIFICATION_NAME&name=Capstone+Business+Simulation+%E2%80%94+Participant&organizationName=Capsim+Management+Simulations&issueYear=2026&issueMonth=7&certUrl=https%3A%2F%2Fbmcd03.github.io%2Fcapsim-badges%2Fbadges%2FCAP-2026-AF1C85E8.html&certId=CAP-2026-AF1C85E8
